Data;Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12;
2004.09;819,598416102953;
2004.10;818,207962050961;
2004.11;814,622111257333;
2004.12;807,675179559302;
2005.01;803,098524377478;
2005.02;799,57925234397;
2005.03;793,785014621051;
2005.04;786,626550858663;
2005.05;901,337421865786;
2005.06;902,330670234956;
2005.07;902,060857864545;
2005.08;902,060857864545;
2005.09;900,710674256621;
2005.10;895,517980806412;
2005.11;890,709970668791;
2005.12;887,160020895003;
2006.01;883,801755474776;
2006.02;881,772519941234;
2006.03;879,398272449716;
2006.04;1024,73441648246;
2006.05;1023,40531358085;
2006.06;1024,1223653732;
2006.07;1022,99825602741;
2006.08;1023,20174431949;
2006.09;1021,56829795522;
2006.10;1017,19398853075;
2006.11;1012,94136358817;
2006.12;1006,70066427053;
2007.01;1001,79171332587;
2007.02;997,603383458647;
2007.03;993,232284224754;
2007.04;1075,57079790228;
2007.05;1072,78164825828;
2007.06;1069,46709433657;
2007.07;1066,05554699029;
2007.08;1059,80374053462;
2007.09;1057,16107895599;
2007.10;1053,99957899933;
2007.11;1049,48601288672;
2007.12;1039,40444447626;
2008.01;1032,28126299626;
2008.02;1027,35139609666;
2008.03;1116,28154003724;
2008.04;1109,18427227995;
2008.05;1098,63748155435;
2008.06;1088,73019741652;
2008.07;1082,45055511377;
2008.08;1080,183299389;
2008.09;1078,56701739113;
2008.10;1073,20206545573;
2008.11;1069,1393590448;
2008.12;1066,04885197522;
2009.01;1059,26977606332;
2009.02;1183,22537898336;
2009.03;1180,86241958637;
2009.04;1174,40394713796;
2009.05;1167,39799287157;
2009.06;1162,5174930404;
2009.07;1159,85019386676;
2009.08;1158,92349685789;
2009.09;1157,07077087376;
2009.10;1154,30088771523;
2009.11;1150,04614767255;
2009.12;1147,29123486683;
2010.01;1247,3420038659;
2010.02;1238,6726116512;
2010.03;1229,94045383831;
2010.04;1221,02828858745;
2010.05;1215,79884148567;
2010.06;1217,13905630328;
2010.07;1217,99103766804;
2010.08;1218,84421261985;
2010.09;1212,29713631656;
2010.10;1201,2452421972;
2010.11;1188,99859369328;
2010.12;1181,90662752899;
2011.01;1239,77625301914;
2011.02;1233,11568870005;
2011.03;1236,37280598902;
2011.04;1227,5329566855;
2011.05;1220,57589459711;
2011.06;1217,89557711539;
2011.07;1217,89557711539;
2011.08;1212,80313309845;
2011.09;1207,36799081675;
2011.10;1203,51647018031;
2011.11;1196,6975624332;
2011.12;1190,62559493693;
2012.01;1351,94794247051;
2012.02;1346,69690805764;
2012.03;1344,27860651496;
2012.04;1335,72674011819;
2012.05;1328,42171038291;
2012.06;1324,98186288037;
2012.07;1319,30772945519;
2012.08;1313,39887437108;
2012.09;1305,1732727093;
2012.10;1295,97507067942;
2012.11;1289,01335762979;
2012.12;1279,54457924077;
2013.01;1382,02955791158;
2013.02;1374,87875820896;
2013.03;1366,67958727211;
2013.04;1358,66312507702;
2013.05;1353,92370162108;
2013.06;1350,14183125749;
2013.07;1351,89960368503;
2013.08;1349,74089722684;
2013.09;1346,10470967524;
2013.10;1337,94352908368;
2013.11;1330,75848678635;
2013.12;1321,24371324973;
2014.01;1402,0551585733;
2014.02;1393,13809200091;
2014.03;1381,8065614956;
2014.04;1371,11301201834;
2014.05;1362,93640678768;
2014.06;1359,40037393097;
2014.07;1357,63589788888;
2014.08;1355,19521908447;
2014.09;1348,58918326062;
2014.10;1343,48427700444;
2014.11;1336,40070332728;
2014.12;1328,16606856954;
2015.01;1424,49279503458;
2015.02;1408,15507319913;
2015.03;1387,21079133708;
2015.04;1377,43195915903;
2015.05;1363,9270819886;
2015.06;1353,50763255839;
2015.07;1345,70144150948;
2015.08;1342,34495671324;
2015.09;1335,53386379966;
2015.10;1325,32916662999;
2015.11;1310,77893087237;
2015.12;1299,08703446044;
2016.01;1429,17647558838;
2016.02;1415,72844677873;
2016.03;1409,52416082626;
2016.04;1400,5625285044;
2016.05;1386,96979758504;
2016.06;1380,48155279223;
2016.07;1371,70241407161;
